,value
57723,68005
57724,82168
57725,92992
57726,38907
57727,62813
57728,67395
57729,46742
57730,6783
57731,91543
57732,93364
57733,17739
57734,40106
57735,29349
57736,58369
57737,57401
57738,61017
57739,18010
57740,37602
57741,86299
57742,68572
57743,2954
57744,83551
57745,29540
57746,67777
57747,59649
57748,8009
57749,64338
57750,83497
57751,93212
57752,6454
57753,84024
57754,26804
57755,43123
57756,76490
57757,96771
57758,78700
57759,68698
57760,94142
57761,33329
57762,33123
57763,30083
57764,84360
57765,44822
57766,8
57767,51293
57768,92890
57769,91068
57770,10781
57771,53657
57772,55994
57773,55787
57774,94040
57775,11574
57776,10593
57777,83129
57778,81206
57779,29326
57780,67494
57781,98198
57782,85363
57783,79175
57784,74119
57785,21036
57786,27508
57787,15104
57788,10588
57789,80084
57790,12095
57791,59507
57792,3939
57793,812
57794,26157
57795,44643
57796,48515
57797,97673
57798,37139
57799,402
57800,54281
57801,41613
57802,50941
57803,53006
57804,94906
57805,33809
57806,97615
57807,41495
57808,55244
57809,32716
57810,47514
57811,13175
57812,78812
57813,79967
57814,15159
57815,75057
57816,70986
57817,39080
57818,36410
57819,68049
57820,88045
57821,36055
57822,36925
57823,74598
57824,81327
57825,83846
57826,59103
57827,53870
57828,90635
57829,90574
57830,38441
57831,51934
57832,44486
57833,92131
57834,25389
57835,50688
57836,53303
57837,49646
57838,51014
57839,71329
57840,25466
57841,88698
57842,89332
57843,71916
57844,64782
57845,43949
57846,15776
57847,63275
57848,40491
57849,12936
57850,97725
57851,75878
57852,88295
57853,71500
57854,36456
57855,81833
57856,18818
57857,30148
57858,85632
57859,74051
57860,60155
57861,14198
57862,69975
57863,27732
57864,38868
57865,27549
57866,61459
57867,80573
57868,48921
57869,86353
57870,53984
57871,29342
57872,52988
57873,25083
57874,63391
57875,19329
57876,70430
57877,2914
57878,77310
57879,93497
57880,11260
57881,55535
57882,36031
57883,45281
57884,49693
57885,13285
57886,26724
57887,59353
57888,1238
57889,56905
57890,33380
57891,32680
57892,19542
57893,13398
57894,83197
57895,54296
57896,45528
57897,87981
57898,15016
57899,58489
57900,58928
57901,2186
57902,332
57903,71159
57904,70023
57905,17668
57906,86397
57907,70651
57908,92896
57909,14179
57910,37168
57911,5041
57912,4783
57913,43192
57914,11641
57915,31711
57916,17482
57917,84759
57918,40529
57919,3336
57920,5529
57921,42492
57922,18062
57923,36926
57924,80941
57925,68364
57926,56868
57927,30891
57928,22765
57929,93243
57930,48399
57931,87881
57932,4540
57933,72485
57934,38038
57935,51463
57936,1402
57937,14708
57938,10778
57939,74051
57940,74606
57941,82506
57942,47478
57943,44972
57944,54920
57945,53159
57946,54995
57947,37418
57948,34218
57949,73508
57950,82491
57951,73144
57952,60864
57953,45559
57954,27835
57955,56528
57956,20873
57957,72834
57958,79111
57959,39108
57960,85877
57961,64843
57962,10242
57963,33451
57964,27084
57965,77541
57966,54382
57967,81307
57968,33135
57969,99294
57970,1688
57971,71343
57972,33016
57973,14564
57974,54185
57975,13906
57976,80028
57977,93072
57978,12209
57979,13520
57980,6567
57981,83420
57982,74006
57983,48465
57984,89302
57985,49120
57986,45781
57987,33781
57988,35114
57989,95423
57990,53084
57991,45514
57992,50342
57993,33207
57994,10942
57995,13422
57996,16238
57997,74529
57998,805
57999,26547
58000,56210
58001,92999
58002,25849
58003,33792
58004,49820
58005,6099
58006,35148
58007,52184
58008,94574
58009,48917
58010,18768
58011,23919
58012,99854
58013,40675
58014,38300
58015,3662
58016,2620
58017,56863
58018,50004
58019,3464
58020,58890
58021,40617
58022,4794
58023,36440
58024,8677
58025,50609
58026,46191
58027,37379
58028,88035
58029,11769
58030,96361
58031,87136
58032,12858
58033,44059
58034,51993
58035,51211
58036,76154
58037,14236
58038,99255
58039,94830
58040,1236
58041,38567
58042,5293
58043,12378
58044,13298
58045,99191
58046,75593
58047,68613
58048,90327
58049,74243
58050,81679
58051,4904
58052,8218
58053,52699
58054,16571
58055,48904
58056,13658
58057,49553
58058,49045
58059,66760
58060,44595
58061,11472
58062,98552
58063,44099
58064,70237
58065,89943
58066,64212
58067,4649
58068,61953
58069,48429
58070,60885
58071,81924
58072,77691
58073,44569
58074,43035
58075,99722
58076,1137
58077,45065
58078,203
58079,92953
58080,47221
58081,30346
58082,80043
58083,89239
58084,64417
58085,47077
58086,88455
58087,62242
58088,1593
58089,25083
58090,12891
58091,73149
58092,373
58093,77401
58094,843
58095,80211
58096,5257
58097,97310
58098,99624
58099,90477
58100,56308
58101,4906
58102,19101
58103,50577
58104,8621
58105,37991
58106,29828
58107,27424
58108,36231
58109,43805
58110,12433
58111,10915
58112,64043
58113,36710
58114,19810
58115,82062
58116,96887
58117,57417
58118,60091
58119,27449
58120,94204
58121,12229
58122,37369
58123,88775
58124,55713
58125,26805
58126,74745
58127,9571
58128,19588
58129,29348
58130,20302
58131,1954
58132,9810
58133,89549
58134,23891
58135,15090
58136,33619
58137,38616
58138,21031
58139,25893
58140,64102
58141,71013
58142,59443
58143,2702
58144,9621
58145,63491
58146,83241
58147,44074
58148,77484
58149,16479
58150,53357
58151,47552
58152,52398
58153,5256
58154,22917
58155,330
58156,28392
58157,20759
58158,15464
58159,32998
58160,91444
58161,38196
58162,92866
58163,30082
58164,16441
58165,26021
58166,49686
58167,92049
58168,59336
58169,19036
58170,27173
58171,41379
58172,68431
58173,30050
58174,1907
58175,2881
58176,62187
58177,36056
58178,42281
58179,36258
58180,50021
58181,8066
58182,82747
58183,60272
58184,62151
58185,4137
58186,83898
58187,52184
58188,78411
58189,82640
58190,127
58191,25253
58192,83182
58193,85154
58194,17180
58195,85216
58196,29170
58197,15655
58198,3198
58199,72948
58200,49893
58201,36536
58202,25217
58203,65921
58204,55162
58205,98194
58206,55661
58207,51901
58208,94377
58209,53597
58210,84024
58211,72121
58212,46666
58213,12121
58214,84102
58215,51505
58216,50899
58217,82542
58218,63822
58219,59115
58220,82747
58221,81572
58222,21713
58223,45798
58224,75982
58225,87316
58226,52026
58227,22782
58228,62820
58229,83718
58230,91001
58231,58933
58232,4209
58233,55527
58234,2328
58235,47417
58236,39984
58237,70770
58238,71854
58239,33452
58240,98307
58241,45274
58242,50000
58243,93447
58244,44433
58245,63277
58246,117
58247,86124
58248,19221
58249,43191
58250,1102
58251,86294
58252,48570
58253,51223
58254,70332
58255,82384
58256,55736
58257,71111
58258,72305
58259,24559
58260,90895
58261,27767
58262,92417
58263,62090
58264,88567
58265,69761
58266,93437
58267,30814
58268,99350
58269,28593
58270,5755
58271,21222
58272,15454
58273,35637
58274,73318
58275,81184
58276,26103
58277,53304
58278,79408
58279,18041
58280,97935
58281,59945
58282,95272
58283,18230
58284,87178
58285,89852
58286,4959
58287,17151
58288,62494
58289,21112
58290,74721
58291,98820
58292,62188
58293,18221
58294,23436
58295,78673
58296,22489
58297,43787
58298,70856
58299,89766
58300,83947
58301,87357
58302,96885
58303,81457
58304,40439
58305,53346
58306,93232
58307,28310
58308,88259
58309,66863
58310,9195
58311,1162
58312,91484
58313,21564
58314,33090
58315,45582
58316,99242
58317,64468
58318,14045
58319,2501
58320,90757
58321,25060
58322,38070
58323,1802
58324,98525
58325,78463
58326,65739
58327,82769
58328,46325
58329,62169
58330,73217
58331,49825
58332,32461
58333,45311
58334,76098
58335,57178
58336,98802
58337,95830
58338,93701
58339,93292
58340,72581
58341,36599
58342,33573
58343,12727
58344,13216
58345,69158
58346,2101
58347,5169
58348,73999
58349,69164
58350,40181
58351,52648
58352,19396
58353,26393
58354,93361
58355,4809
58356,76609
58357,31803
58358,31257
58359,37521
58360,69967
58361,99206
58362,37785
58363,20404
58364,17479
58365,95708
58366,59988
58367,61485
58368,85044
58369,37781
58370,99529
58371,87391
58372,59964
58373,95774
58374,83797
58375,31419
58376,9077
58377,92988
58378,46727
58379,48895
58380,16926
58381,42055
58382,24148
58383,7108
58384,88284
58385,58066
58386,37279
58387,42235
58388,85062
58389,18768
58390,41216
58391,15205
58392,18890
58393,20312
58394,39051
58395,60159
58396,32036
58397,83004
58398,50842
58399,20567
58400,86838
58401,75084
58402,2737
58403,90022
58404,41358
58405,52218
58406,51505
58407,45687
58408,47041
58409,19541
58410,77639
58411,15034
58412,63107
58413,66957
58414,2983
58415,94764
58416,47612
58417,67453
58418,22577
58419,23494
58420,94018
58421,73251
58422,24636
58423,814
58424,42600
58425,50904
58426,22663
58427,7322
58428,77183
58429,82106
58430,3375
58431,81564
58432,77172
58433,47616
58434,12557
58435,25504
58436,63789
58437,54855
58438,24813
58439,72906
58440,39521
58441,51323
58442,83394
58443,53548
58444,8412
58445,92615
58446,98133
58447,98786
58448,69767
58449,17139
58450,60198
58451,8766
58452,81839
58453,11367
58454,61146
58455,7786
58456,33599
58457,8910
58458,18712
58459,21043
58460,13812
58461,5643
58462,63517
58463,81809
58464,50735
58465,63103
58466,650
58467,96712
58468,58946
58469,73457
58470,15231
58471,51181
58472,31939
58473,85104
58474,24929
58475,60639
58476,20713
58477,67487
58478,75721
58479,27824
58480,45768
58481,80009
58482,1855
58483,46170
58484,65080
58485,98737
58486,11052
58487,34984
58488,38924
58489,6415
58490,5957
58491,69732
58492,94023
58493,85497
58494,11838
58495,47460
58496,28579
58497,87487
58498,75067
58499,24992
58500,52278
58501,57906
58502,5665
58503,41565
58504,30093
58505,44369
58506,43814
58507,19737
58508,48109
58509,70655
58510,23186
58511,91241
58512,221
58513,46928
58514,23318
58515,12540
58516,59697
58517,18478
58518,24646
58519,99746
58520,49613
58521,11598
58522,63401
58523,51456
58524,28747
58525,47023
58526,37973
58527,50675
58528,89241
58529,57633
58530,61818
58531,25210
58532,68090
58533,44322
58534,38806
58535,32741
58536,66204
58537,39170
58538,82699
58539,7047
58540,25765
58541,96409
58542,55342
58543,79596
58544,60113
58545,54498
58546,66774
58547,40806
58548,15480
58549,71111
58550,77524
58551,66005
58552,78185
58553,69490
58554,60415
58555,91832
58556,8011
58557,12236
58558,1333
58559,13877
58560,34067
58561,76411
58562,92275
58563,71527
58564,1092
58565,52131
58566,5744
58567,71620
58568,87128
58569,71647
58570,68688
58571,21011
58572,57401
58573,39370
58574,62102
58575,12313
58576,68418
58577,26823
58578,6460
58579,27531
58580,99324
58581,36874
58582,1534
58583,17632
58584,45067
58585,84217
58586,29480
58587,36010
58588,35188
58589,48125
58590,23822
58591,27288
58592,35910
58593,91247
58594,54198
58595,93826
58596,80619
58597,15435
58598,39404
58599,54800
58600,6076
58601,82137
58602,12649
58603,73133
58604,5996
58605,43658
58606,82642
58607,31149
58608,66980
58609,51063
58610,74948
58611,45834
58612,69499
58613,703
58614,44756
58615,54555
58616,84516
58617,33129
58618,94514
58619,37405
58620,95858
58621,16700
58622,53877
58623,80402
58624,24362
58625,74290
58626,49982
58627,12376
58628,61900
58629,12202
58630,91522
58631,25748
58632,14423
58633,15987
58634,91093
58635,25745
58636,16848
58637,28485
58638,25968
58639,15279
58640,38951
58641,15256
58642,84707
58643,81636
58644,64144
58645,8555
58646,704
58647,79985
58648,79546
58649,13786
58650,82292
58651,44750
58652,49004
58653,12245
58654,7037
58655,31683
58656,54792
58657,9368
58658,89348
58659,39241
58660,65234
58661,30296
58662,37701
58663,75109
58664,39996
58665,41467
58666,24256
58667,85547
58668,22355
58669,88108
58670,8814
58671,50664
58672,65581
58673,73799
58674,20143
58675,43136
58676,99147
58677,25061
58678,64128
58679,44861
58680,88700
58681,2717
58682,17732
58683,37994
58684,52527
58685,73953
58686,53014
58687,36971
58688,66819
58689,80414
58690,26621
58691,52774
58692,6378
58693,75348
58694,67512
58695,89117
58696,26429
58697,71397
58698,25214
58699,8975
58700,77600
58701,57719
58702,18867
58703,26492
58704,71592
58705,57775
58706,86822
58707,95800
58708,83731
58709,2014
58710,70111
58711,24493
58712,10530
58713,65539
58714,45894
58715,93
58716,74286
58717,55444
58718,33395
58719,63854
58720,94714
58721,42180
58722,56145
58723,6933
58724,82601
58725,65456
58726,65910
58727,89481
58728,36484
58729,12511
58730,96444
58731,9252
58732,51772
58733,36064
58734,76455
58735,43218
58736,78159
58737,59508
58738,18388
58739,42395
58740,14108
58741,91076
58742,30423
58743,88376
58744,89268
58745,73384
58746,39521
58747,33139
58748,23841
58749,8157
58750,92056
58751,13563
58752,75824
58753,58556
58754,45915
58755,2803
58756,74029
58757,29496
58758,82321
58759,2708
58760,7871
58761,34303
58762,13580
58763,59024
58764,78776
58765,74342
58766,97843
58767,21791
58768,41368
58769,97382
58770,36515
58771,24019
58772,9711
58773,27688
58774,84943
58775,79643
58776,79696
58777,95280
58778,45706
58779,2074
58780,7448
58781,16216
58782,60056
58783,46531
58784,82827
58785,47194
58786,16618
58787,96373
58788,77519
58789,29407
58790,557
58791,25871
58792,33337
58793,4097
58794,12151
58795,44276
58796,49096
58797,79360
58798,85249
58799,64635
58800,13795
58801,92323
58802,75871
58803,33612
58804,93836
58805,39419
58806,59082
58807,62764
58808,77980
58809,52061
58810,35472
58811,59466
58812,42412
58813,16415
58814,47566
58815,78705
58816,93396
58817,4358
58818,31685
58819,68770
58820,19204
58821,19165
58822,49736
58823,64115
58824,70644
58825,7953
58826,76951
58827,52856
58828,43666
58829,58011
58830,38073
58831,81432
58832,94908
58833,35215
58834,97177
58835,23942
58836,55649
58837,85282
58838,68486
58839,16607
58840,90978
58841,73001
58842,82438
58843,9902
58844,54613
58845,81756
58846,60537
58847,97844
58848,6088
58849,67710
58850,5595
58851,89816
58852,10654
58853,85344
58854,85889
58855,78201
58856,96780
58857,8402
58858,48200
58859,80014
58860,46551
58861,92254
58862,46922
58863,92576
58864,73807
58865,92738
58866,16057
58867,72098
58868,69991
58869,9142
58870,71975
58871,7612
58872,88689
58873,66780
58874,24009
58875,3498
58876,37616
58877,22671
58878,41214
58879,682
58880,18862
58881,88097
58882,71031
58883,92213
58884,84580
58885,39065
58886,81240
58887,23325
58888,76676
58889,46476
58890,85945
58891,44160
58892,10309
58893,48308
58894,30359
58895,6760
58896,38710
58897,15413
58898,87531
58899,49496
58900,15668
58901,73064
58902,78003
58903,28427
58904,55233
58905,92315
58906,74623
58907,6639
58908,55596
58909,77311
58910,86171
58911,23496
58912,19185
58913,97469
58914,12139
58915,45529
58916,78968
58917,25428
58918,87712
58919,18607
58920,65808
58921,36054
58922,47986
58923,96241
58924,96577
58925,7598
58926,14051
58927,70648
58928,89424
58929,37417
58930,44338
58931,22182
58932,61027
58933,10321
58934,45938
58935,30826
58936,22180
58937,31657
58938,86595
58939,18432
58940,88327
58941,63456
58942,94167
58943,40271
58944,25387
58945,26747
58946,6123
58947,62310
58948,47464
58949,72903
58950,5540
58951,21152
58952,16758
58953,26390
58954,1108
58955,59404
58956,55255
58957,16343
58958,95214
58959,83822
58960,78757
58961,41400
58962,59584
58963,60232
58964,25572
58965,9445
58966,58181
58967,64844
58968,88706
58969,15319
58970,66212
58971,79266
58972,55728
58973,56805
58974,26542
58975,55129
58976,20679
58977,65027
58978,40817
58979,88144
58980,51796
58981,17008
58982,30470
58983,99156
58984,7553
58985,19037
58986,68200
58987,44892
58988,76032
58989,24851
58990,39720
58991,65582
58992,9117
58993,46179
58994,28822
58995,53043
58996,52027
58997,18898
58998,91728
58999,78728
59000,97102
59001,17656
59002,63522
59003,26989
59004,71537
59005,85129
59006,81481
59007,70741
59008,38910
59009,74737
59010,72503
59011,70756
59012,98360
59013,28929
59014,37439
59015,38494
59016,37411
59017,78567
59018,58153
59019,71453
59020,54882
59021,53157
59022,39839
59023,88026
59024,91371
59025,73217
59026,66481
59027,38212
59028,23495
59029,93775
59030,65535
59031,79287
59032,49765
59033,18108
59034,22973
59035,72428
59036,97015
59037,42561
59038,12910
59039,53342
59040,71110
59041,13967
59042,81335
59043,34956
59044,33143
59045,50602
59046,40521
59047,80992
59048,32795
59049,14406
59050,1512
59051,51049
59052,1763
59053,88145
59054,15390
59055,82268
59056,726
59057,88301
59058,7560
59059,26571
59060,50587
59061,41664
59062,13646
59063,6606
59064,97342
59065,60317
59066,55440
59067,26684
59068,86740
59069,22231
59070,79406
59071,65593
59072,39383
59073,65107
59074,18822
59075,10483
59076,15661
59077,98439
59078,2563
59079,51997
59080,31767
59081,3412
59082,36289
59083,59447
59084,46726
59085,18461
59086,30967
59087,53488
59088,34670
59089,93033
59090,76191
59091,85007
59092,64980
59093,21926
59094,26480
59095,47149
59096,8269
59097,31055
59098,52961
59099,25940
59100,590
59101,86608
59102,50634
59103,9283
59104,299
59105,87714
59106,76502
59107,58661
59108,37123
59109,63743
59110,25767
59111,94286
59112,71805
59113,27479
59114,68168
59115,25303
59116,96189
59117,94747
59118,28486
59119,50375
59120,68266
59121,18294
59122,24333
59123,70070
59124,3465
59125,50502
59126,45108
59127,6008
59128,66294
59129,15455
59130,94955
59131,27697
59132,14295
59133,493
59134,95507
59135,56802
59136,44099
59137,40056
59138,38297
59139,67046
59140,35323
59141,63115
59142,65007
59143,16165
59144,12135
59145,97220
59146,53521
59147,69765
59148,22321
59149,72145
59150,83185
59151,34021
59152,72472
59153,32738
59154,33655
59155,34272
59156,29181
59157,60269
59158,36791
59159,90042
59160,62459
59161,17964
59162,70049
59163,30571
59164,52024
59165,41245
59166,925
59167,64105
59168,10801
59169,7950
59170,73703
59171,25888
59172,52852
59173,2845
59174,18124
59175,29180
59176,92158
59177,33457
59178,54133
59179,93344
59180,67145
59181,31067
59182,99331
59183,23747
59184,49278
59185,31141
59186,48943
59187,14225
59188,26910
59189,67694
59190,39952
59191,82294
59192,83912
59193,2997
59194,83109
59195,45931
59196,26142
59197,11266
59198,56079
59199,9250
59200,19524
59201,92577
59202,27601
59203,78534
59204,15788
59205,69251
59206,92785
59207,65343
59208,62931
59209,83991
59210,97075
59211,24304
59212,751
59213,24498
59214,10393
59215,85742
59216,18928
59217,91660
59218,35402
59219,53760
59220,82515
59221,85747
59222,95303
59223,64425
59224,16355
59225,5367
59226,99535
59227,61798
59228,59725
59229,98592
59230,79046
59231,28908
59232,21339
59233,46547
59234,58722
59235,69085
59236,17372
59237,81185
59238,88214
59239,69341
59240,92806
59241,20921
59242,22348
59243,67847
59244,7834
59245,71459
59246,5908
59247,73704
59248,25348
59249,98543
59250,22590
59251,33883
59252,7889
59253,50973
59254,24975
59255,23553
59256,87135
59257,66660
59258,40654
59259,94986
59260,41092
59261,57793
59262,49880
59263,66924
59264,49860
59265,56914
59266,60482
59267,91362
59268,99755
59269,50137
59270,30590
59271,31843
59272,72436
59273,14451
59274,39038
59275,26407
59276,24237
59277,16745
59278,44101
59279,73653
59280,17099
59281,61777
59282,57398
59283,13040
59284,34328
59285,83654
59286,91542
59287,76161
59288,56308
59289,9044
59290,64257
59291,77
59292,127
59293,22026
59294,33332
59295,23317
59296,61179
59297,19760
59298,17269
59299,60857
59300,49384
59301,40221
59302,58267
59303,52700
59304,52162
59305,92435
59306,20172
59307,37771
59308,56515
59309,53377
59310,55097
59311,48091
59312,43600
59313,64575
59314,94765
59315,22497
59316,76353
59317,25056
59318,47611
59319,81130
59320,83847
59321,79464
59322,81116
59323,90137
59324,86218
59325,91150
59326,90647
59327,39238
59328,96196
59329,56327
59330,57157
59331,20537
59332,54932
59333,86259
59334,83836
59335,51613
59336,71997
59337,88918
59338,28172
59339,91764
59340,30788
59341,81393
59342,30778
59343,78925
59344,8661
59345,94738
59346,71889
59347,67846
59348,50671
59349,26844
59350,97487
59351,81427
59352,70130
59353,15813
59354,72785
59355,81886
59356,41390
59357,98527
59358,98292
59359,98201
59360,35799
59361,82637
59362,8280
59363,35366
59364,26314
59365,36636
59366,87036
59367,3482
59368,13022
59369,18431
59370,24793
59371,84845
59372,90202
59373,28524
59374,70127
59375,58689
59376,14462
59377,92911
59378,94906
59379,63152
59380,50893
59381,74054
59382,86558
59383,52913
59384,44688
59385,45577
59386,8612
59387,91025
59388,47707
59389,11583
59390,49447
59391,4661
59392,39778
59393,50522
59394,50366
59395,94191
59396,77750
59397,97172
59398,83576
59399,69692
59400,69747
59401,3209
59402,37833
59403,26703
59404,76748
59405,83544
59406,4734
59407,81331
59408,66142
59409,90578
59410,70836
59411,98577
59412,19806
59413,10723
59414,65408
59415,4101
59416,72774
59417,9750
59418,34568
59419,56579
59420,77571
59421,85316
59422,33160
59423,67799
59424,84125
59425,85389
59426,87643
59427,44358
59428,90300
59429,66980
59430,95738
59431,21351
59432,42248
59433,88328
59434,97913
59435,60554
59436,24705
59437,55832
59438,53073
59439,29479
59440,56701
59441,20477
59442,69191
59443,7210
59444,57909
59445,85190
59446,18715
59447,95192
59448,127
59449,29926
59450,55396
59451,63765
59452,58125
59453,5176
59454,94576
59455,98694
59456,50229
59457,64959
59458,96328
59459,10773
59460,70901
59461,93692
59462,36340
59463,12899
59464,70540
59465,74522
59466,79444
59467,45972
59468,99496
59469,66902
59470,91010
59471,29162
59472,10760
59473,72233
59474,32064
59475,89423
59476,21118
59477,45487
59478,40618
59479,25606
59480,10850
59481,13638
59482,67494
59483,57207
59484,87716
59485,33122
59486,25543
59487,85695
59488,68251
59489,56269
59490,4144
59491,45693
59492,49816
59493,42834
59494,19589
59495,79328
59496,98589
59497,48984
59498,62060
59499,85637
59500,12964
59501,94357
59502,71459
59503,50608
59504,96599
59505,16081
59506,75700
59507,29145
59508,79076
59509,52982
59510,81543
59511,68803
59512,49844
59513,41177
59514,86924
59515,63537
59516,60816
59517,55992
59518,80639
59519,71600
59520,36135
59521,48005
59522,23807
59523,62045
59524,16912
59525,8809
59526,97884
59527,46716
59528,44362
59529,30678
59530,35896
59531,32803
59532,90848
59533,41084
59534,15989
59535,76092
59536,71690
59537,54910
59538,46807
59539,89669
59540,22136
59541,52138
59542,36018
59543,64
59544,27617
59545,16816
59546,17003
59547,15233
59548,16255
59549,30928
59550,37442
59551,75183
59552,29215
59553,90462
59554,66008
59555,46520
59556,80471
59557,10811
59558,98929
59559,3974
59560,2405
59561,99843
59562,92935
59563,67469
59564,62047
59565,46306
59566,31035
59567,47931
59568,74897
59569,7656
59570,11308
59571,11982
59572,6675
59573,56932
59574,88270
59575,16802
59576,3496
59577,52337
59578,7687
59579,53843
59580,40854
59581,4133
59582,49923
59583,74866
59584,58220
59585,27494
59586,51550
59587,63152
59588,92361
59589,44388
59590,99650
59591,8341
59592,76229
59593,31144
59594,73611
59595,44499
59596,77283
59597,65901
59598,2378
59599,13463
59600,74137
59601,38781
59602,45971
59603,24877
59604,14655
59605,89075
59606,98486
59607,86383
59608,27671
59609,26215
59610,98001
59611,14944
59612,32
59613,82174
59614,20570
59615,67722
59616,37834
59617,11637
59618,59422
59619,46769
59620,89842
59621,52171
59622,66732
59623,63596
59624,28077
59625,61016
59626,82830
59627,64508
59628,98488
59629,61058
59630,57584
59631,36192
59632,80177
59633,50032
59634,34969
59635,75496
59636,7979
59637,48014
59638,59366
59639,71243
59640,36328
59641,102
59642,65963
59643,50683
59644,21846
59645,57721
59646,67304
59647,83062
59648,82363
59649,84710
59650,24459
59651,3023
59652,38166
59653,35868
59654,14158
59655,2749
59656,66125
59657,92989
59658,1328
59659,52575
59660,91665
59661,43520
59662,68849
59663,44561
59664,34794
59665,39272
59666,11209
59667,11628
59668,89483
59669,53939
59670,7988
59671,43385
59672,3212
59673,29213
59674,80324
59675,43371
59676,27921
59677,30015
59678,21976
59679,94969
59680,78330
59681,11889
59682,78833
59683,71719
59684,12657
59685,50350
59686,39707
59687,11989
59688,1834
59689,83596
59690,48815
59691,27624
59692,90313
59693,38755
59694,99547
59695,54996
59696,10618
59697,2757
59698,35853
59699,72901
59700,78091
59701,99631
59702,5112
59703,24678
59704,65810
59705,22804
59706,66364
59707,33397
59708,15521
59709,20299
59710,74920
59711,82365
59712,68302
59713,26739
59714,95091
59715,93734
59716,24183
59717,8056
59718,61130
59719,37083
59720,94448
59721,32229
59722,24600
59723,42274
59724,9634
59725,54851
59726,30100
59727,14287
59728,26160
59729,37164
59730,3645
59731,13825
59732,44548
59733,5852
59734,27065
59735,47210
59736,4127
59737,67047
59738,82036
59739,10274
59740,71280
59741,3087
59742,7958
59743,43721
59744,95
59745,39260
59746,61401
59747,89859
59748,1182
59749,21146
59750,78656
59751,14985
59752,99966
59753,19599
59754,58655
59755,81341
59756,941
59757,66262
59758,64480
59759,26916
59760,3764
59761,15602
59762,84789
59763,83549
59764,6616
59765,34708
59766,2064
59767,89705
59768,69239
59769,35988
59770,40923
59771,80888
59772,73667
59773,55353
59774,24456
59775,43636
59776,92351
59777,90165
59778,89382
59779,48758
59780,58987
59781,83385
59782,44109
59783,97414
59784,42718
59785,65793
59786,86070
59787,64944
59788,7057
59789,44592
59790,34276
59791,88429
59792,79955
59793,33624
59794,33306
59795,2621
59796,21952
59797,61873
59798,20976
59799,26802
59800,20440
59801,57923
59802,13851
59803,41656
59804,75498
59805,47099
59806,99444
59807,79071
59808,26390
59809,49017
59810,77541
59811,84934
59812,74269
59813,62889
59814,20965
59815,98630
59816,10342
59817,7340
59818,31940
59819,11583
59820,19185
59821,1880
59822,3103
59823,39272
59824,18591
59825,79873
59826,49385
59827,88383
59828,35885
59829,54452
59830,49365
59831,62194
59832,89476
59833,82546
59834,47015
59835,88591
59836,36519
59837,41388
59838,14963
59839,49977
59840,35723
59841,57879
59842,19702
59843,18505
59844,24746
59845,59828
59846,42755
59847,19362
59848,35415
59849,2372
59850,72773
59851,80461
59852,83046
59853,60332
59854,78743
59855,9777
59856,98311
59857,13555
59858,21309
59859,93068
59860,96795
59861,92515
59862,5819
59863,26226
59864,32055
59865,37905
59866,76047
59867,22501
59868,98812
59869,74963
59870,40382
59871,79355
59872,99025
59873,54419
59874,40317
59875,26485
59876,7135
59877,25162
59878,50326
59879,46794
59880,26699
59881,84919
59882,80141
59883,96733
59884,19647
59885,38199
59886,74917
59887,82466
59888,67890
59889,78019
59890,29259
59891,18630
59892,18089
59893,6237
59894,15267
59895,6107
59896,80571
59897,7692
59898,4237
59899,81166
59900,58453
59901,14790
59902,46592
59903,9753
59904,6008
59905,24215
59906,41008
59907,98147
59908,21003
59909,48156
59910,85853
59911,64043
59912,30095
59913,61577
59914,95477
59915,6033
59916,92927
59917,77876
59918,52996
59919,61099
59920,79707
59921,58291
59922,86741
59923,3457
59924,43274
59925,76902
59926,67822
59927,57912
59928,9771
59929,52664
59930,8072
59931,83166
59932,11222
59933,53453
59934,62754
59935,25271
59936,13841
59937,53166
59938,9324
59939,99802
59940,33383
59941,77348
59942,93828
59943,45937
59944,92219
59945,17718
59946,88298
59947,20086
59948,44667
59949,9429
59950,25004
59951,81056
59952,68762
59953,57896
59954,42783
59955,76046
59956,92648
59957,91976
59958,18638
59959,28840
59960,72541
59961,35793
59962,33307
59963,39489
59964,43908
59965,65223
59966,1273
59967,43097
59968,25871
59969,24312
59970,87279
59971,66609
59972,26028
59973,54672
59974,73986
59975,83225
59976,54977
59977,23463
59978,39518
59979,25637
59980,67985
59981,84033
59982,54923
59983,17918
59984,7737
59985,38776
59986,63481
59987,12134
59988,10324
59989,71030
59990,13220
59991,3605
59992,42459
59993,16068
59994,8004
59995,75266
59996,73113
59997,758
59998,79660
59999,85663
60000,88968
60001,52692
60002,18117
60003,7008
60004,72973
60005,78330
60006,85585
60007,76899
60008,36722
60009,37903
60010,48349
60011,31736
60012,7363
60013,79375
60014,62155
60015,54716
60016,17917
60017,89930
60018,4524
60019,90280
60020,39839
60021,87687
60022,40339
60023,50330
60024,51454
60025,9130
60026,8093
60027,45363
60028,86410
60029,21507
60030,94928
60031,57612
60032,28131
60033,65519
60034,56801
60035,61973
60036,93233
60037,86247
60038,80865
60039,58195
60040,68153
60041,4349
60042,21684
60043,92154
60044,80603
60045,17600
60046,33992
60047,21740
60048,66256
60049,68116
60050,20198
60051,21034
60052,55363
60053,8117
60054,38556
60055,63772
60056,28568
60057,22307
60058,49
60059,44913
60060,99319
